"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOfUpto9999USDollar","2011","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4076,"Population With an Income of Up to $9,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOfUpto9999USDollar","2012","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4221,"Population With an Income of Up to $9,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOfUpto9999USDollar","2013","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4455,"Population With an Income of Up to $9,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOfUpto9999USDollar","2014","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4400,"Population With an Income of Up to $9,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOfUpto9999USDollar","2015","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4100,"Population With an Income of Up to $9,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOfUpto9999USDollar","2016","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4089,"Population With an Income of Up to $9,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOfUpto9999USDollar","2017","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3869,"Population With an Income of Up to $9,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOfUpto9999USDollar","2018","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3750,"Population With an Income of Up to $9,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOfUpto9999USDollar","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3715,"Population With an Income of Up to $9,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOfUpto9999USDollar","2020","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3622,"Population With an Income of Up to $9,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOfUpto9999USDollar","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3747,"Population With an Income of Up to $9,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOfUpto9999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3616,"Population With an Income of Up to $9,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf10000To14999USDollar","2011","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1882,"Population With an Income Between $10,000 and $14,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf10000To14999USDollar","2012","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1707,"Population With an Income Between $10,000 and $14,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf10000To14999USDollar","2013","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1737,"Population With an Income Between $10,000 and $14,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf10000To14999USDollar","2014","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1552,"Population With an Income Between $10,000 and $14,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf10000To14999USDollar","2015","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1771,"Population With an Income Between $10,000 and $14,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf10000To14999USDollar","2016","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1602,"Population With an Income Between $10,000 and $14,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf10000To14999USDollar","2017","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1689,"Population With an Income Between $10,000 and $14,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf10000To14999USDollar","2018","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1808,"Population With an Income Between $10,000 and $14,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf10000To14999USDollar","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1782,"Population With an Income Between $10,000 and $14,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf10000To14999USDollar","2020","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1730,"Population With an Income Between $10,000 and $14,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf10000To14999USDollar","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1629,"Population With an Income Between $10,000 and $14,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf10000To14999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1596,"Population With an Income Between $10,000 and $14,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf15000To24999USDollar","2011","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2777,"Population With an Income Between $15,000 and $24,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf15000To24999USDollar","2012","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2817,"Population With an Income Between $15,000 and $24,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf15000To24999USDollar","2013","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3039,"Population With an Income Between $15,000 and $24,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf15000To24999USDollar","2014","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2757,"Population With an Income Between $15,000 and $24,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf15000To24999USDollar","2015","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2477,"Population With an Income Between $15,000 and $24,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf15000To24999USDollar","2016","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2517,"Population With an Income Between $15,000 and $24,999"
